CountyCode,Precinct,Castle / Bradley+Sum(CanVotes),Clinton / Kaine+Sum(CanVotes),De La Fuente / Steinberg+Sum(CanVotes),Johnson / Weld+Sum(CanVotes),OverVotes+Sum(CanVotes),Stein / Baraka+Sum(CanVotes),Trump / Pence+Sum(CanVotes),UnderVotes+Sum(CanVotes),WriteinVotes+Sum(CanVotes),WriteInVotes+Sum(CanVotes),CardsCast,VotesCast,Clinton%,Rep%
BRO,A004,3,582,0,26,2,10,467,4,4,,1098,1092,0.5330,0.4277
BRO,A005,0,552,0,18,0,14,686,11,12,,1293,1282,0.4306,0.5351
BRO,A006,1,1058,3,32,4,14,446,8,9,,1575,1563,0.6769,0.2853
BRO,A007,1,672,0,16,0,12,571,12,15,,1299,1287,0.5221,0.4437
BRO,A008,2,303,0,1,1,2,27,0,1,,337,336,0.9018,0.0804
BRO,A009,2,1236,2,15,15,6,906,16,7,,2205,2174,0.5685,0.4167
BRO,A010,1,359,1,17,4,14,437,2,1,,836,830,0.4325,0.5265
BRO,A011,0,1321,0,9,3,3,40,6,4,,1386,1377,0.9593,0.0290
BRO,A012,1,831,1,16,2,10,606,11,11,,1489,1476,0.5630,0.4106
BRO,A013,0,1219,3,43,2,18,1044,16,22,,2367,2349,0.5189,0.4444
BRO,A014,5,1341,1,46,6,19,821,10,14,,2263,2247,0.5968,0.3654
BRO,A015,0,1234,1,10,4,6,86,10,10,,1361,1347,0.9161,0.0638
BRO,A016,0,817,0,15,8,7,605,11,8,,1471,1452,0.5627,0.4167
BRO,A017,1,154,0,4,1,1,144,2,3,,310,307,0.5016,0.4691
BRO,A018,0,766,0,3,3,1,136,5,3,,917,909,0.8427,0.1496
BRO,A019,0,674,0,14,0,15,545,11,11,,1270,1259,0.5353,0.4329
BRO,A020,4,791,0,12,1,9,511,7,8,,1343,1335,0.5925,0.3828
BRO,A021,3,889,0,18,2,16,238,9,5,,1180,1169,0.7605,0.2036
BRO,A022,0,877,0,7,6,4,85,6,2,,987,975,0.8995,0.0872
BRO,A023,1,502,0,9,2,6,83,1,3,,607,604,0.8311,0.1374
BRO,A024,1,678,1,7,4,7,109,4,3,,814,806,0.8412,0.1352
BRO,B001,1,201,0,13,0,2,744,5,5,,971,966,0.2081,0.7702
BRO,B002,0,491,1,24,1,3,898,11,8,,1437,1425,0.3446,0.6302
BRO,B003,1,328,0,12,1,1,642,11,4,,1000,988,0.3320,0.6498
BRO,B004,2,583,0,32,0,3,1323,13,25,,1981,1968,0.2962,0.6723
BRO,B005,0,266,0,14,2,2,310,3,4,,601,596,0.4463,0.5201
BRO,B006,0,217,0,6,0,1,355,4,8,,591,587,0.3697,0.6048
BRO,C001,1,988,1,27,5,9,1279,30,14,,2354,2319,0.4260,0.5515
BRO,C002,0,282,0,10,1,3,461,2,5,,764,761,0.3706,0.6058
BRO,C003,1,331,3,10,2,3,366,5,2,,723,716,0.4623,0.5112
BRO,C004,0,477,0,17,2,9,644,10,9,,1168,1156,0.4126,0.5571
BRO,C005,1,1590,0,7,5,5,37,11,6,,1662,1646,0.9660,0.0225
BRO,C006,3,2020,0,15,8,5,113,3,10,,2177,2166,0.9326,0.0522
BRO,C007,1,156,0,9,0,4,217,5,2,,394,389,0.4010,0.5578
BRO,C008,1,370,0,16,0,1,477,2,3,,870,868,0.4263,0.5495
BRO,C009,0,193,0,4,1,3,74,2,0,,277,274,0.7044,0.2701
BRO,C010,2,818,1,30,1,15,784,8,18,,1677,1668,0.4904,0.4700
BRO,C011,0,580,0,22,2,3,721,11,6,,1345,1332,0.4354,0.5413
BRO,C012,0,539,0,9,2,6,632,18,9,,1215,1195,0.4510,0.5289
BRO,C013,2,388,0,6,3,4,419,1,4,,827,823,0.4714,0.5091
BRO,C014,0,359,3,10,3,10,469,3,3,,860,854,0.4204,0.5492
BRO,C015,3,1513,0,10,2,12,98,7,5,,1650,1641,0.9220,0.0597
BRO,C016,2,952,0,40,0,14,1252,19,19,,2298,2279,0.4177,0.5494
BRO,C017,0,343,0,7,0,3,550,3,2,,908,905,0.3790,0.6077
BRO,C018,2,517,1,11,0,7,694,7,8,,1247,1240,0.4169,0.5597
BRO,C019,2,413,0,21,1,10,680,6,11,,1144,1137,0.3632,0.5981
BRO,C020,2,557,0,8,0,6,85,0,4,,662,662,0.8414,0.1284
BRO,C021,0,750,1,20,1,7,515,11,2,,1307,1295,0.5792,0.3977
BRO,C022,0,413,1,29,0,4,738,8,10,,1203,1195,0.3456,0.6176
BRO,C023,2,2608,1,43,2,30,1415,22,32,,4155,4131,0.6313,0.3425
BRO,C024,3,1196,0,17,6,10,641,10,3,,1886,1870,0.6396,0.3428
BRO,C025,1,475,0,2,6,0,54,2,2,,542,534,0.8895,0.1011
BRO,C026,0,260,0,5,0,3,87,1,3,,359,358,0.7263,0.2430
BRO,C027,0,237,1,6,2,2,65,1,2,,316,313,0.7572,0.2077
BRO,C028,0,1815,1,8,5,9,61,8,5,,1912,1899,0.9558,0.0321
BRO,C029,0,301,0,7,4,1,324,11,1,,649,634,0.4748,0.5110
BRO,C030,1,832,1,23,0,8,597,9,7,,1478,1469,0.5664,0.4064
BRO,C031,1,944,3,24,7,12,536,13,8,,1548,1528,0.6178,0.3508
BRO,C032,0,256,0,3,1,2,41,1,3,,307,305,0.8393,0.1344
BRO,C033,3,369,3,8,6,7,195,2,5,,598,590,0.6254,0.3305
BRO,C034,2,1082,1,22,5,10,609,7,11,,1749,1737,0.6229,0.3506
BRO,C035,0,833,0,4,3,7,115,2,1,,965,960,0.8677,0.1198
BRO,C036,0,189,2,2,2,2,53,3,2,,255,250,0.7560,0.2120
BRO,C037,1,346,0,8,8,2,347,5,2,,719,706,0.4901,0.4915
BRO,C038,0,64,0,2,0,0,83,3,1,,153,150,0.4267,0.5533
BRO,D001,2,680,2,20,1,3,443,8,9,,1168,1159,0.5867,0.3822
BRO,D002,2,820,0,13,3,10,338,3,10,,1199,1193,0.6873,0.2833
BRO,D003,2,795,0,21,2,11,506,7,19,,1363,1354,0.5871,0.3737
BRO,D004,2,706,0,14,0,3,303,7,6,,1041,1034,0.6828,0.2930
BRO,D005,0,1309,2,18,3,13,243,6,10,,1604,1595,0.8207,0.1524
BRO,D006,0,733,1,20,2,6,376,7,10,,1155,1146,0.6396,0.3281
BRO,D007,1,698,1,7,0,3,82,1,3,,796,795,0.8780,0.1031
BRO,D008,1,756,0,22,4,2,395,9,14,,1203,1190,0.6353,0.3319
BRO,D009,1,1673,2,21,1,23,265,4,15,,2005,2000,0.8365,0.1325
BRO,D010,1,421,0,6,1,1,97,1,0,,528,526,0.8004,0.1844
BRO,D011,0,179,0,1,1,0,27,0,1,,209,208,0.8606,0.1298
BRO,D012,0,344,0,2,0,2,50,1,1,,400,399,0.8622,0.1253
BRO,D013,4,828,1,11,0,2,186,3,2,,1037,1034,0.8008,0.1799
BRO,D014,0,632,0,13,6,5,331,3,7,,997,988,0.6397,0.3350
BRO,D015,1,902,1,21,3,8,516,7,12,,1471,1461,0.6174,0.3532
BRO,D016,4,1401,1,33,8,14,815,12,14,,2302,2282,0.6139,0.3571
BRO,E001,1,310,0,4,1,3,51,1,2,,373,371,0.8356,0.1375
BRO,E002,1,966,1,25,0,16,382,11,6,,1408,1397,0.6915,0.2734
BRO,E003,0,770,1,24,1,13,705,11,28,,1553,1541,0.4997,0.4575
BRO,E004,5,1772,1,42,4,23,810,18,11,,2686,2664,0.6652,0.3041
BRO,E005,2,1167,1,23,3,9,496,12,12,,1725,1710,0.6825,0.2901
BRO,E006,3,1976,4,49,3,17,1313,21,36,,3422,3398,0.5815,0.3864
BRO,E007,8,1799,1,53,2,24,988,11,34,,2920,2907,0.6189,0.3399
BRO,E008,5,1391,3,34,1,13,710,12,18,,2187,2174,0.6398,0.3266
BRO,E009,0,691,2,23,1,3,489,12,12,,1233,1220,0.5664,0.4008
BRO,E010,11,1835,1,43,3,22,1087,22,17,,3041,3016,0.6084,0.3604
BRO,E011,0,1524,1,21,0,17,862,13,14,,2452,2439,0.6248,0.3534
BRO,E012,4,780,1,16,1,16,302,2,12,,1134,1131,0.6897,0.2670
BRO,E013,4,1115,2,41,2,11,686,7,15,,1883,1874,0.5950,0.3661
BRO,E014,1,1498,1,33,2,9,1227,13,10,,2794,2779,0.5390,0.4415
BRO,E015,0,619,0,15,2,8,520,12,7,,1183,1169,0.5295,0.4448
BRO,E016,1,715,1,21,3,12,526,5,10,,1294,1286,0.5560,0.4090
BRO,E017,3,1389,3,27,1,11,849,13,18,,2314,2300,0.6039,0.3691
BRO,E018,3,435,0,8,0,3,408,7,4,,868,861,0.5052,0.4739
BRO,E019,2,913,0,20,2,7,416,11,13,,1384,1371,0.6659,0.3034
BRO,E020,4,1688,3,34,10,18,825,16,10,,2608,2582,0.6538,0.3195
BRO,E021,0,860,2,24,1,8,517,11,13,,1436,1424,0.6039,0.3631
BRO,E022,1,1309,1,35,3,13,954,21,21,,2358,2334,0.5608,0.4087
BRO,E023,2,855,0,24,2,12,619,8,18,,1540,1530,0.5588,0.4046
BRO,E024,3,1656,1,29,2,12,961,11,22,,2697,2684,0.6170,0.3580
BRO,E025,2,583,0,14,0,10,292,7,5,,913,906,0.6435,0.3223
BRO,E026,1,848,0,17,1,7,492,7,10,,1383,1375,0.6167,0.3578
BRO,E027,1,1678,2,44,3,14,887,15,20,,2664,2646,0.6342,0.3352
BRO,E028,3,929,1,19,3,8,348,7,10,,1328,1318,0.7049,0.2640
BRO,E029,2,712,0,14,1,6,189,4,3,,931,926,0.7689,0.2041
BRO,E030,0,368,1,0,1,5,77,2,1,,455,452,0.8142,0.1704
BRO,E031,0,910,2,16,1,8,658,8,12,,1615,1606,0.5666,0.4097
BRO,E032,4,1007,0,25,0,11,618,9,14,,1688,1679,0.5998,0.3681
BRO,E033,2,911,1,25,1,5,585,7,9,,1546,1538,0.5923,0.3804
BRO,E034,1,404,0,23,0,2,296,6,7,,739,733,0.5512,0.4038
BRO,F001,2,856,0,34,2,20,744,8,13,,1679,1669,0.5129,0.4458
BRO,F002,1,737,0,12,3,6,337,7,12,,1115,1105,0.6670,0.3050
BRO,F003,2,703,0,16,3,5,349,2,7,,1087,1082,0.6497,0.3226
BRO,F004,1,2438,3,26,14,14,1168,27,7,,3698,3657,0.6667,0.3194
BRO,F005,5,1835,3,52,5,19,1180,7,20,,3126,3114,0.5893,0.3789
BRO,F006,3,1186,2,23,2,17,537,16,10,,1796,1778,0.6670,0.3020
BRO,F007,4,1301,2,26,3,7,664,8,9,,2024,2013,0.6463,0.3299
BRO,F008,1,1113,0,24,1,19,551,11,13,,1733,1721,0.6467,0.3202
BRO,F009,1,1067,0,22,4,5,440,7,9,,1555,1544,0.6911,0.2850
BRO,F010,1,1238,1,42,3,21,671,13,12,,2002,1986,0.6234,0.3379
BRO,F011,0,500,1,13,0,11,429,1,5,,960,959,0.5214,0.4473
BRO,F012,6,1677,3,48,10,6,1222,12,19,,3003,2981,0.5626,0.4099
BRO,F013,5,512,0,15,0,2,297,1,10,,842,841,0.6088,0.3532
BRO,F014,2,755,0,14,0,12,363,7,10,,1163,1156,0.6531,0.3140
BRO,G001,1,1063,1,22,6,8,335,9,4,,1449,1434,0.7413,0.2336
BRO,G002,2,1279,1,30,3,18,865,12,12,,2222,2207,0.5795,0.3919
BRO,G003,4,1128,1,25,5,9,616,12,10,,1810,1793,0.6291,0.3436
BRO,G004,2,1393,1,25,2,4,735,13,15,,2190,2175,0.6405,0.3379
BRO,G005,1,919,0,14,0,4,389,7,5,,1339,1332,0.6899,0.2920
BRO,G006,6,1454,3,29,12,14,756,10,11,,2295,2273,0.6397,0.3326
BRO,G007,0,304,0,6,3,0,139,1,2,,455,451,0.6741,0.3082
BRO,G008,0,1697,3,30,5,12,439,10,10,,2206,2191,0.7745,0.2004
BRO,G009,0,526,0,5,3,3,92,1,5,,635,631,0.8336,0.1458
BRO,G010,0,869,2,25,4,11,715,7,7,,1640,1629,0.5335,0.4389
BRO,G011,4,1049,0,28,2,7,520,9,11,,1630,1619,0.6479,0.3212
BRO,G012,2,871,1,12,1,3,425,7,9,,1331,1323,0.6584,0.3212
BRO,G013,2,502,0,5,1,1,131,4,0,,646,641,0.7832,0.2044
BRO,G014,3,1081,0,15,4,14,511,10,12,,1650,1636,0.6608,0.3123
BRO,G015,0,944,2,13,2,3,413,14,5,,1396,1380,0.6841,0.2993
BRO,G016,1,1627,5,23,4,14,845,16,10,,2545,2525,0.6444,0.3347
BRO,H001,4,1559,0,11,6,8,245,6,12,,1851,1839,0.8477,0.1332
BRO,H002,2,652,0,1,2,4,59,6,3,,729,721,0.9043,0.0818
BRO,H003,4,2044,2,27,3,22,265,12,17,,2396,2381,0.8585,0.1113
BRO,H004,3,814,0,11,3,5,129,7,1,,973,963,0.8453,0.1340
BRO,H005,0,1880,1,12,7,13,187,10,11,,2121,2104,0.8935,0.0889
BRO,H006,0,1085,3,10,0,7,214,10,3,,1332,1322,0.8207,0.1619
BRO,H007,0,1286,0,5,1,6,198,4,6,,1506,1501,0.8568,0.1319
BRO,H008,3,1011,2,14,0,6,176,2,6,,1220,1218,0.8300,0.1445
BRO,H009,1,585,1,10,0,3,103,4,2,,709,705,0.8298,0.1461
BRO,H010,0,207,0,1,0,2,39,0,1,,250,250,0.8280,0.1560
BRO,H011,3,1453,2,13,4,10,303,11,13,,1812,1797,0.8086,0.1686
BRO,J001,2,877,1,15,0,6,324,9,7,,1241,1232,0.7119,0.2630
BRO,J002,2,857,2,21,3,6,367,6,12,,1276,1267,0.6764,0.2897
BRO,J003,5,800,1,11,1,11,462,11,8,,1310,1298,0.6163,0.3559
BRO,J004,4,1079,3,28,1,10,341,6,11,,1483,1476,0.7310,0.2310
BRO,J005,3,926,1,12,5,9,291,7,2,,1256,1244,0.7444,0.2339
BRO,J006,1,408,0,7,4,5,143,5,1,,574,565,0.7221,0.2531
BRO,J007,1,1100,2,12,3,6,315,9,7,,1455,1443,0.7623,0.2183
BRO,J008,0,242,0,3,1,0,112,5,5,,368,362,0.6685,0.3094
BRO,J009,0,825,3,2,1,10,359,6,2,,1208,1201,0.6869,0.2989
BRO,J010,1,785,0,28,2,9,331,8,11,,1175,1165,0.6738,0.2841
BRO,J011,1,1581,2,26,9,31,628,15,18,,2311,2287,0.6913,0.2746
BRO,J012,1,2572,0,39,13,18,834,25,19,,3521,3483,0.7384,0.2394
BRO,J013,0,1045,2,10,1,8,306,6,2,,1380,1373,0.7611,0.2229
BRO,J014,2,761,0,7,3,2,375,9,5,,1164,1152,0.6606,0.3255
BRO,J015,1,818,1,15,0,13,386,3,5,,1242,1239,0.6602,0.3115
BRO,J016,0,386,1,6,1,7,104,0,1,,506,505,0.7644,0.2059
BRO,J017,1,1050,2,13,0,12,179,6,4,,1267,1261,0.8327,0.1420
BRO,J018,0,1081,3,20,0,11,428,12,9,,1564,1552,0.6965,0.2758
BRO,J019,6,1907,7,31,2,26,743,17,18,,2757,2738,0.6965,0.2714
BRO,J020,2,670,0,6,5,6,166,4,8,,867,858,0.7809,0.1935
BRO,J021,2,1194,1,20,0,9,572,9,10,,1817,1808,0.6604,0.3164
BRO,J022,1,1175,0,11,7,2,409,13,4,,1622,1602,0.7335,0.2553
BRO,J023,2,684,1,19,0,5,369,6,11,,1097,1091,0.6269,0.3382
BRO,J024,0,651,0,4,4,4,218,7,2,,890,879,0.7406,0.2480
BRO,K001,0,931,0,4,3,2,45,2,2,,989,984,0.9461,0.0457
BRO,K002,2,943,0,7,2,4,40,6,9,,1013,1005,0.9383,0.0398
BRO,K003,0,1775,0,8,4,10,111,9,3,,1920,1907,0.9308,0.0582
BRO,K004,1,1433,1,6,4,16,67,7,4,,1539,1528,0.9378,0.0438
BRO,K005,1,988,1,3,3,3,41,9,5,,1054,1042,0.9482,0.0393
BRO,K006,1,1063,1,6,3,3,65,6,7,,1155,1146,0.9276,0.0567
BRO,K007,3,1273,0,5,4,2,40,4,5,,1336,1328,0.9586,0.0301
BRO,K008,0,1019,0,5,1,3,78,4,1,,1111,1106,0.9213,0.0705
BRO,K009,0,1058,0,5,5,5,141,3,3,,1220,1212,0.8729,0.1163
BRO,K010,0,392,0,1,1,0,35,0,2,,431,430,0.9116,0.0814
BRO,K011,5,1125,0,3,3,4,114,2,1,,1257,1252,0.8986,0.0911
BRO,L001,4,2756,1,31,4,19,656,10,21,,3502,3488,0.7901,0.1881
BRO,L002,0,906,0,3,0,1,36,4,3,,953,949,0.9547,0.0379
BRO,L003,2,781,1,2,2,3,62,4,3,,860,854,0.9145,0.0726
BRO,L004,4,3323,1,13,11,10,96,13,10,,3481,3457,0.9612,0.0278
BRO,L005,0,1066,0,2,5,5,41,3,4,,1126,1118,0.9535,0.0367
BRO,L006,3,2028,1,10,3,9,107,15,7,,2183,2165,0.9367,0.0494
BRO,L007,2,703,1,6,2,4,99,6,5,,828,820,0.8573,0.1207
BRO,L008,1,1461,1,6,4,3,59,12,5,,1552,1536,0.9512,0.0384
BRO,L009,4,1275,1,15,2,10,211,7,8,,1533,1524,0.8366,0.1385
BRO,L010,1,2741,5,32,9,21,476,31,9,,3325,3285,0.8344,0.1449
BRO,L011,0,894,0,5,4,8,74,0,4,,989,985,0.9076,0.0751
BRO,L012,1,876,1,4,3,8,35,1,2,,931,927,0.9450,0.0378
BRO,L013,3,2204,0,22,8,18,389,16,14,,2674,2650,0.8317,0.1468
BRO,L014,0,879,0,1,0,2,12,2,3,,899,897,0.9799,0.0134
BRO,L015,0,651,0,2,1,2,7,3,4,,670,666,0.9775,0.0105
BRO,L016,1,1090,0,3,4,6,31,11,4,,1150,1135,0.9604,0.0273
BRO,L017,0,684,1,1,2,2,12,6,2,,710,702,0.9744,0.0171
BRO,L018,1,1066,0,3,3,0,26,6,4,,1109,1100,0.9691,0.0236
BRO,L019,0,379,0,3,2,1,13,1,3,,402,399,0.9499,0.0326
BRO,M001,3,989,2,32,0,14,557,9,15,,1621,1612,0.6135,0.3455
BRO,M002,1,1714,0,12,8,11,143,7,7,,1903,1888,0.9078,0.0757
BRO,M003,4,1980,0,7,3,13,157,12,10,,2186,2171,0.9120,0.0723
BRO,M004,2,921,0,6,4,9,95,6,4,,1047,1037,0.8881,0.0916
BRO,M005,0,979,0,11,2,6,226,8,6,,1238,1228,0.7972,0.1840
BRO,M006,2,494,0,9,1,6,210,5,4,,731,725,0.6814,0.2897
BRO,M007,0,568,0,4,4,1,173,10,7,,767,753,0.7543,0.2297
BRO,M008,3,909,1,8,7,8,284,10,3,,1233,1216,0.7475,0.2336
BRO,M009,2,1221,3,28,1,8,370,8,4,,1645,1636,0.7463,0.2262
BRO,M010,0,550,0,6,2,4,187,3,1,,753,748,0.7353,0.2500
BRO,M011,2,550,0,7,2,6,186,4,8,,765,759,0.7246,0.2451
BRO,M012,4,1113,0,38,2,11,638,13,17,,1836,1821,0.6112,0.3504
BRO,M013,3,901,2,18,0,8,192,6,3,,1133,1127,0.7995,0.1704
BRO,M014,2,1045,1,46,2,13,561,10,14,,1694,1682,0.6213,0.3335
BRO,M015,5,1169,2,20,2,11,407,8,11,,1635,1625,0.7194,0.2505
BRO,M016,0,339,0,4,2,2,133,3,0,,483,478,0.7092,0.2782
BRO,M017,0,487,0,3,1,4,184,8,0,,687,678,0.7183,0.2714
BRO,M018,1,545,0,5,1,6,161,7,4,,730,722,0.7548,0.2230
BRO,M019,1,661,1,14,1,9,288,3,8,,986,982,0.6731,0.2933
BRO,M020,3,1665,4,32,2,20,441,10,13,,2190,2178,0.7645,0.2025
BRO,M021,0,646,0,7,5,10,197,5,6,,876,866,0.7460,0.2275
BRO,M022,1,1103,2,23,2,8,501,9,9,,1658,1647,0.6697,0.3042
BRO,M023,0,1227,0,6,5,6,435,13,2,,1694,1676,0.7321,0.2595
BRO,M024,0,869,2,22,2,9,273,9,6,,1192,1181,0.7358,0.2312
BRO,M025,2,1471,4,43,1,19,946,16,19,,2521,2504,0.5875,0.3778
BRO,M026,5,1281,2,20,3,13,400,8,16,,1748,1737,0.7375,0.2303
BRO,M027,1,452,0,8,1,6,243,4,3,,718,713,0.6339,0.3408
BRO,M028,1,1095,2,22,2,11,247,2,7,,1389,1385,0.7906,0.1783
BRO,M029,1,859,1,28,1,12,518,3,10,,1433,1429,0.6011,0.3625
BRO,M030,6,1892,3,56,3,23,923,10,21,,2937,2924,0.6471,0.3157
BRO,M031,0,594,0,4,2,3,94,6,3,,706,698,0.8510,0.1347
BRO,M032,2,761,1,6,1,11,145,5,6,,938,932,0.8165,0.1556
BRO,N001,4,1245,0,8,6,6,156,4,7,,1436,1426,0.8731,0.1094
BRO,N002,1,1300,0,11,2,4,129,5,4,,1456,1449,0.8972,0.0890
BRO,N003,3,539,0,11,0,10,379,3,6,,951,948,0.5686,0.3998
BRO,N004,5,1174,2,28,6,14,734,7,13,,1983,1970,0.5959,0.3726
BRO,N005,0,358,1,5,0,4,213,4,6,,591,587,0.6099,0.3629
BRO,N006,1,710,0,36,1,7,851,13,6,,1625,1611,0.4407,0.5282
BRO,N007,1,758,2,31,2,6,561,12,13,,1386,1372,0.5525,0.4089
BRO,N008,1,1457,1,52,2,21,888,15,17,,2454,2437,0.5979,0.3644
BRO,N009,2,603,0,18,4,6,261,6,1,,901,891,0.6768,0.2929
BRO,N010,1,722,0,19,0,7,537,4,12,,1302,1298,0.5562,0.4137
BRO,N011,0,524,0,31,3,8,582,6,8,,1162,1153,0.4545,0.5048
BRO,N012,0,917,1,15,2,18,359,4,7,,1323,1317,0.6963,0.2726
BRO,N013,4,668,0,9,1,5,330,2,9,,1028,1025,0.6517,0.3220
BRO,N014,3,1381,2,26,2,14,410,8,13,,1859,1849,0.7469,0.2217
BRO,N015,3,1905,3,33,8,13,946,23,18,,2952,2921,0.6522,0.3239
BRO,N016,1,731,3,18,0,8,598,17,10,,1386,1369,0.5340,0.4368
BRO,N017,1,945,1,23,1,9,442,9,13,,1444,1434,0.6590,0.3082
BRO,N018,0,1165,1,42,1,10,562,8,15,,1804,1795,0.6490,0.3131
BRO,N019,1,630,1,13,2,4,343,4,10,,1008,1002,0.6287,0.3423
BRO,N020,4,871,2,32,0,6,709,7,11,,1642,1635,0.5327,0.4336
BRO,N021,3,744,0,14,4,4,637,12,16,,1434,1418,0.5247,0.4492
BRO,N022,1,1839,3,39,4,23,935,13,15,,2872,2855,0.6441,0.3275
BRO,N023,3,1292,1,37,4,14,733,17,15,,2116,2095,0.6167,0.3499
BRO,N024,0,941,0,25,0,1,594,5,8,,1574,1569,0.5997,0.3786
BRO,N025,1,1545,5,41,2,12,848,12,19,,2485,2471,0.6253,0.3432
BRO,N026,2,1121,0,18,3,12,481,6,7,,1650,1641,0.6831,0.2931
BRO,N027,0,219,0,7,0,2,190,3,4,,425,422,0.5190,0.4502
BRO,N028,2,741,1,13,0,7,623,10,12,,1409,1399,0.5297,0.4453
BRO,N029,4,1316,2,33,0,7,804,6,17,,2189,2183,0.6028,0.3683
BRO,P001,0,994,0,14,0,5,210,3,4,,1230,1227,0.8101,0.1711
BRO,P002,0,942,0,11,0,7,196,3,5,,1164,1161,0.8114,0.1688
BRO,P003,2,1307,1,19,2,10,369,10,7,,1727,1715,0.7621,0.2152
BRO,P004,2,884,0,10,1,8,251,5,5,,1166,1160,0.7621,0.2164
BRO,P005,1,550,1,15,1,3,261,5,3,,840,834,0.6595,0.3129
BRO,P006,0,615,0,8,4,5,227,10,4,,873,859,0.7159,0.2643
BRO,Q010,0,498,1,16,3,3,709,9,7,,1246,1234,0.4036,0.5746
BRO,Q020,0,119,0,8,0,0,223,3,2,,355,352,0.3381,0.6335
BRO,Q030,3,942,1,25,3,7,1156,21,13,,2171,2147,0.4388,0.5384
BRO,Q031,3,733,4,22,4,8,1000,17,7,,1798,1777,0.4125,0.5627
BRO,Q040,4,1325,1,39,1,5,1223,13,26,,2637,2623,0.5051,0.4663
BRO,Q041,2,1577,3,44,2,9,1321,11,20,,2989,2976,0.5299,0.4439
BRO,Q042,1,567,0,17,0,9,529,6,9,,1138,1132,0.5009,0.4673
BRO,Q043,1,669,1,26,1,8,922,8,9,,1645,1636,0.4089,0.5636
BRO,Q044,5,3025,3,83,3,14,2479,35,42,,5689,5651,0.5353,0.4387
BRO,Q045,0,676,3,19,1,2,589,11,12,,1313,1301,0.5196,0.4527
BRO,Q050,2,1121,0,5,6,11,76,4,3,,1228,1218,0.9204,0.0624
BRO,Q051,0,286,1,2,1,3,124,4,3,,424,419,0.6826,0.2959
BRO,Q060,1,2066,3,63,1,15,992,19,26,,3186,3166,0.6526,0.3133
BRO,Q061,5,2066,4,45,6,30,1190,29,37,,3412,3377,0.6118,0.3524
BRO,Q062,4,1742,2,40,6,18,637,16,17,,2482,2460,0.7081,0.2589
BRO,Q063,0,642,1,20,0,4,420,12,9,,1108,1096,0.5858,0.3832
BRO,Q064,0,1007,2,20,3,12,530,16,15,,1605,1586,0.6349,0.3342
BRO,Q065,4,3000,5,79,3,19,1277,29,42,,4458,4426,0.6778,0.2885
BRO,Q066,1,881,1,25,0,6,682,19,13,,1628,1609,0.5475,0.4239
BRO,Q067,2,1266,0,26,1,5,757,15,31,,2103,2087,0.6066,0.3627
BRO,Q068,0,1285,0,31,1,10,719,14,10,,2070,2055,0.6253,0.3499
BRO,Q069,0,1036,0,25,1,14,437,12,14,,1539,1526,0.6789,0.2864
BRO,Q070,5,1957,3,65,1,18,834,22,31,,2936,2913,0.6718,0.2863
BRO,Q071,4,1332,0,39,1,13,828,21,22,,2260,2238,0.5952,0.3700
BRO,Q072,4,1157,1,32,3,8,688,14,16,,1923,1906,0.6070,0.3610
BRO,Q080,1,1523,6,25,8,11,417,12,9,,2012,1992,0.7646,0.2093
BRO,Q081,4,969,0,10,3,11,234,5,3,,1239,1231,0.7872,0.1901
BRO,Q082,0,1200,0,2,9,8,65,8,4,,1296,1279,0.9382,0.0508
BRO,Q083,0,1343,0,6,3,6,41,10,6,,1415,1402,0.9579,0.0292
BRO,Q090,1,468,1,24,2,4,656,8,4,,1168,1158,0.4041,0.5665
BRO,Q091,2,1197,1,47,6,15,1785,21,23,,3097,3070,0.3899,0.5814
BRO,R001,0,694,2,20,2,6,842,12,12,,1590,1576,0.4404,0.5343
BRO,R002,0,930,1,28,1,12,940,21,15,,1948,1926,0.4829,0.4881
BRO,R003,0,458,0,12,1,7,515,2,6,,1001,998,0.4589,0.5160
BRO,R004,2,761,1,18,1,5,827,12,12,,1639,1626,0.4680,0.5086
BRO,R005,0,398,0,10,1,1,452,2,5,,869,866,0.4596,0.5219
BRO,R006,0,446,0,16,0,8,344,9,9,,832,823,0.5419,0.4180
BRO,R007,0,467,2,17,0,5,533,4,12,,1040,1036,0.4508,0.5145
BRO,R008,0,467,1,14,4,2,547,7,9,,1051,1040,0.4490,0.5260
BRO,R009,3,681,0,18,0,10,641,7,13,,1373,1366,0.4985,0.4693
BRO,R010,1,454,1,11,1,2,488,10,9,,977,966,0.4700,0.5052
BRO,R011,3,552,0,14,0,8,612,12,17,,1218,1206,0.4577,0.5075
BRO,R012,0,675,0,19,3,2,611,19,10,,1339,1317,0.5125,0.4639
BRO,R013,2,1427,0,55,2,11,1564,20,24,,3105,3083,0.4629,0.5073
BRO,R014,0,584,0,16,1,5,453,3,7,,1069,1065,0.5484,0.4254
BRO,R015,0,1255,0,37,3,9,1276,13,24,,2617,2601,0.4825,0.4906
BRO,R016,1,929,0,24,1,15,459,13,13,,1455,1441,0.6447,0.3185
BRO,R017,0,299,1,5,0,3,108,4,1,,421,417,0.7170,0.2590
BRO,R018,0,1211,0,45,2,17,483,6,17,,1781,1773,0.6830,0.2724
BRO,R019,0,727,2,13,1,10,349,6,9,,1117,1110,0.6550,0.3144
BRO,R020,0,480,0,20,1,8,205,4,7,,725,720,0.6667,0.2847
