CountyCode,Precinct,Castle / Bradley+Sum(CanVotes),Clinton / Kaine+Sum(CanVotes),De La Fuente / Steinberg+Sum(CanVotes),Johnson / Weld+Sum(CanVotes),OverVotes+Sum(CanVotes),Stein / Baraka+Sum(CanVotes),Trump / Pence+Sum(CanVotes),UnderVotes+Sum(CanVotes),WriteinVotes+Sum(CanVotes),WriteInVotes+Sum(CanVotes),CardsCast,VotesCast,Clinton%,Rep%
PIN,226,2,553,0,3,2,2,40,6,5,,613,605,0.9140,0.0661
PIN,227,0,1203,0,19,1,18,198,6,17,,1462,1455,0.8268,0.1361
PIN,228,4,509,0,17,3,11,174,1,7,,726,722,0.7050,0.2410
PIN,229,5,811,0,68,3,14,725,12,13,,1651,1636,0.4957,0.4432
PIN,230,2,577,1,45,0,6,675,15,18,,1339,1324,0.4358,0.5098
PIN,231,3,1063,1,60,2,15,1114,15,19,,2292,2275,0.4673,0.4897
PIN,232,6,778,1,44,3,21,894,17,13,,1777,1757,0.4428,0.5088
PIN,233,3,712,0,48,3,17,510,8,11,,1312,1301,0.5473,0.3920
PIN,234,4,557,0,32,2,13,549,4,14,,1175,1169,0.4765,0.4696
PIN,235,3,701,1,30,1,11,782,17,14,,1560,1542,0.4546,0.5071
PIN,236,2,707,4,40,4,26,788,12,17,,1600,1584,0.4463,0.4975
PIN,237,2,768,2,36,5,13,809,20,14,,1669,1644,0.4672,0.4921
PIN,238,4,613,1,43,3,16,621,8,25,,1334,1323,0.4633,0.4694
PIN,239,5,1215,2,76,8,29,1005,19,24,,2383,2356,0.5157,0.4266
PIN,240,2,570,2,55,3,14,707,17,16,,1386,1366,0.4173,0.5176
PIN,241,3,773,3,41,3,16,892,10,21,,1762,1749,0.4420,0.5100
PIN,242,7,806,4,46,3,18,785,21,16,,1706,1682,0.4792,0.4667
PIN,243,3,497,1,20,4,18,481,11,8,,1043,1028,0.4835,0.4679
PIN,244,4,541,4,40,5,17,625,11,16,,1263,1247,0.4338,0.5012
PIN,245,2,473,1,39,3,20,640,12,20,,1210,1195,0.3958,0.5356
PIN,246,1,474,1,27,2,5,546,7,9,,1072,1063,0.4459,0.5136
PIN,247,4,751,0,58,3,21,869,6,23,,1735,1726,0.4351,0.5035
PIN,248,4,668,2,57,2,13,737,18,16,,1517,1497,0.4462,0.4923
PIN,249,2,267,2,26,0,10,308,4,5,,624,620,0.4306,0.4968
PIN,250,6,953,0,65,4,14,1068,25,21,,2156,2127,0.4480,0.5021
PIN,251,3,711,1,58,2,20,989,14,20,,1818,1802,0.3946,0.5488
PIN,252,3,830,4,41,4,5,959,11,19,,1876,1861,0.4460,0.5153
PIN,253,0,2,0,0,0,0,4,0,0,,6,6,0.3333,0.6667
